Nume*;Email*;Județ*;Localitate*;Adresă*;Cod poștal*;Criterii de admitere*;Preț*;Servicii* - multiple;Categorii de îngrijire - multiple;Previzualizare imagine;Siglă cămin;Link video;Substituent video;Galerie imagini - multiple;Descriere scurtă*;Descriere*
"Centrul de ingrijire varstnici Geriatrica";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"Situat departe de tumultul si poluarea specifica oraselor mari centrul de rezidenta din Nadab – judetul Arad se vrea un concept care sa raspunda in primul rand nevoii de socializare si activitate a seniorilor nostri. Complexul beneficiaza de suportul a inca trei unitati proprii destinate sa intregeasca tabloul activitatii de ingrijire a varstnicilor si anume: spital general privat, centru de recuperare, centru de cercetare si tratament al bolnavilor de Alzheimer. Am creat acest speatiu pentru a-i ajuta pe cei varstnici sa inteleaga ca viata nu se incheie in pragul pensionarii, ca mai au multe de spus si de facut si nu in ultimul rand ca nu sunt singuri."
"Casa Liana";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"Asociatia Casa Liana – centru privat de ingrijire persoane varstnice , si-a deschis portile pentru ingrijirea persoanelor varstnice care nu isi mai pot purta singure de grija, persoanelor batrane sau persoanelor singure dornice de socializare si pentru care singuratatea a devenit o povara. Casa Liana este situata in jud. Arad. Caminul are o capacitate de 17 persoane, cu camere de 1, 2 sau 3 paturi, care asigura tot confortul si linistea persoanelor cazate. Echipa Casei Liana este grijulie si munceste cu drag pentru a face ca toata lumea sa se simta ca acasa, ca intr-o familie. Intregul personal este primitor si prietenos si ofera o atmosfera familiala la cel mai inalt standard."
"Centrul Medical Dr. Georgescu – Rezidenta si Recuperare";mageorgescu@gmail.com;;;"Strada Lunca 55, Bascov, Romania";;;;;;;;;;;;"Centrul Medical Dr Georgescu – Rezidenta si Recuperare este cel mai modern camin de adulti si varstnici din Arges, dedicat atat ingrijirii persoanelor varstnice, dar si recuperarii postoperatorii, post AVC, etc. Locatia este de exceptie, la 2 km de Pitesti, intr-o zona linistita, constructia fiind noua si la standarde europene pentru centre de ingrijire. Rezidentii beneficiaza de conditii deosebite, in camere de 1 sau doua paturi, cu grup sanitar propriu, frigider, televizor; exista si camere speciale pentru pacienti cu dizabilitati. Se asigura 3 mese principale si 2 gustari, preparate in bucataria proprie. Asistenta medicala este asigurata permanent, vizita zilnica de catre medic; se asigura kinetoterapie si fizioterapie- ultrasonoterapie, laserterapie, magnetoterapie, electroterapie. Organizam pentru rezidentii nostri momente festive cu prilejul zilelor de nastere, onomastice, sarbatori traditionale. Oferim rezidenta pe perioada limitata ( zile/saptamani/luni) sau pe perioada nedeterminata. De asemenea, oferim servicii de ingrijire si recuperare pentru nerezidenti (2 mese si gustari conform regimului dietetic indicat, monitorizare TA, glicemie, fizio-kinetoterapie, gimnastica, ajutor la deplasare si ingrijire medicala)."
"DASINA Seniori";office@dasina.ro;;;"Izvorani 6, Izvorani, Stefanesti, Argeș County, Romania";;;;"Asistenta medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane varstnice";;;;;;"https://www.camine-batrani.ro/wp-content/uploads/2019/09/107_image_1.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/107_image_2.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/107_image_3.jpg";;"DASINA este un camin particular modern, specializat in domeniul ingrijirii: -persoanelor in varsta; -persoanelor bolnave (Alzheimer); -persoanelor aflate in perioada de recuperare dupa operatie; Se asigura cazare, masa, ingrijire medicala, supraveghere permanenta"
"Azil Batrani Arges";azilbatrani2017@gmail.com;;;"Strada Tăbăcariei 32, Geamăna, Romania";;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Gimnastica medicala, Ingrijire bolnavi, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"Suntem o intreaga echipa dedicata, ce isi doreste ca lucrul ce ne defineste sa fie profesionalismul. Totodata insa, suntem insotiti de emotie si caldura, ceea ce ii face pe batrani si pe copii cu dizabilitati sa se simta ca acasa. Sa se simta iubiti, protejati, ingrijiti si mai ales de toate, intelesi. Oferim cazare si ingrijire batranilor, dar si persoanelor cu diverse dizabilitati si le oferim toata atentia noastra. Avem grija de starea lor de sanatate pe timpul sederii, sa isi urmeze tratamentul si sa aiba parte de curatenie si confort. Oferim suport pentru cei care au nevoie de recuperare fizica intrucat avem specialisti ce se ocupa de kinetoterapie special cu acestia."
"Centrul de Ingrijire al Varstnicului Mioveni";;;;;;;;"Asistenta medicala, Geriatrie, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane varstnice";;;;;;;;"-Cazarea este asigurata in camere cu doua sau trei paturi, mobilier adecvat confortului necesar, incalzire si apa calda proprie, sala de mese si living pentru delectare. -Masa este asigurata in regim propriu, in functie de afectiunea fiecarui pacient in baza foii de alimentatie intocmita de catre medicul curant si asistentul dietetician (regim pentru diabet, hepatic, desodat). -Pentru persoanele care prezinta tulburari de deglutitie (inghitire) alimentatia se va administra in regim pasat de catre personalul angajat. Asistenta medicala este asigurata 24 de ore din 24 de catre personal calificat in domeniu cu experienta in urgente, geriatrie, ingrijiri paliative, care administrareaza medicamentele personale pe cale orala (per os) si cele prescrise de medicul curant al Centrului si anume: -Administrarea solutiilor perfuzabile. -Administrarea medicamentelor intramusculare, intravenoase, subcutanate. -Toaleta si pansarea plagilor, escarelor, fistule, stome, precum si pansamente postoperatorii."
"Caminul de Batrani Topoloveni";;;;;;;;;;;;;;;;"100 km de Bucuresti, 20 km de Pitesti zona de deal. servicii complete de ingrijire"
"Casa Elder";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"Casa Elder ofera, pentru persoanele varstnice, protectie si ingrijire pe perioada nedeterminata, la standardele de calitate ale unui centru rezidential. Consideram ca atat persoanele varstnice internate, cat si membrii familiilor lor, pot trai in liniste avand siguranta faptului ca persoana ajunsa la batranete este ingrijita cu daruire, intr-un mediu linistit si placut, unde beneficiaza de o gama complexa de servicii adaptate necesitatilor varstei si particularitatilor diferitelor boli cu care se confrunta."
"CRONOS Rasarit de soare";;;;;;;;"Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice";;;;;;;;"Centru de ingrijire si asistenta; permanenta; adresat persoanelor in varsta; si boala Alzheimer, situat intr-o zona; linistita; In afara orasului asigura; asistenta cu personal calificat."
"Azil Alzheimer";;;;;;;;"Asistenta medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice";;;;;;;;"Caminul Sfantul Gheorghe se afla in Municipiul Pitesti si este unul dintre cele mai moderne unitati particulare de ingrijire a pacientilor cu dementa Alzheimer. Caminul ofera standarde europene atat la serviciile medicale, cat si la confortul oferit in spatiile de cazare. Serviciile medicale sunt asigurate de: medic geriatru, medic generalist, psiholog, asistent social, infirmiere Nu avem scari, praguri si etaj, ceea ce este foarte important pentru batrani! Confortul caminului este oferit de un spatiu generos de 280 mp construiti, dispusi numai pe parter (nu exista trepte), intr-o cladire noua cu toate dotarile necesare. Cazarea se face in camere cu 3,4 si 5 paturi, fiecare camera dispunand de parchet, termopan, aer conditionat, TV color conectat la televiziunea prin cablu. Confortul deosebit, ingrijirea oferita de personalul calificat, programele de terapie ocupationala, dar si de stimulare cognitiva – in concordanta cu cele mai noi metode de terapie specifica dementei – vor asigura pacientilor cele mai bune conditii pentru o viata demna, indiferent de stadiul de boala."
"Camin de batrani CASA THEODOR";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Reflexoterapie";;;;;;;;"Caminul CASA THEODOR, s-a deschis in mai 2012, si este situat in orasul Pitesti intr-o zona linistita, usor accesibila. In caminul nostru, rezidentii vor regasi confort, liniste si o atmosfera prietenoasa. Astfel, ei nu se vor simti singuri, ci vor fi inconjurati de persoane asemenea lor cu care pot socializa. Aici incurajam bunicii sa-si petreaca impreuna timpul prin activitati recreative, plimbari, vizionarea emisiunilor preferate, realizand astfel terapia ocupationala atat de necesara varstei a treia."
"Caminul Sfanta Maria";;;;;;;;"Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice";;;;;;;;"Caminul este situat in orasul Pitesti, judetul Arges, fiind locul ideal pentru persoanele de varsta a treia. Caminul ofera un mediu ambiant placut si servicii de calitate cu ajutorul unei echipe de profesionisti, fiind creat pentru ca seniorii dumneavoastra sa beneficieze de asistenta medicala permanenta intr-un mediu familiar . La Caminul Sfanta Maria valorile dupa care ne ghidam sunt mediu familiar, asistenta medicala permanenta si un climat de siguranta in acord cu cele mai inalte standarde europene."
"Casa Orizont";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie";;;;;;;;"Casa Orizont – hotel de trei stele plus pentru batrani – se afla intr-un loc ferit de zgomot si poluare, pozitionat in plin cadru rural, in satul Belesi-Negresti, judetul Arges, aflat la 10 km de Topoloveni si 30 km de Pitesti. Cladirea a fost amenajata de profesionisti italieni cu mobilier de anticariat din Italia si Franta (1860/1920), argint din Anglia, tablouri de artisti italieni si europeni si covoare vechii persane. Camerele sunt spatioase cu 2, 3 si 4 paturi utilate cu mobilier din lemn masiv, televizor, telefon, frigobar, grupuri sanitare spatioase cu dus sau jacuzi, bideu, lavoar, wc. Servicii de spalatorie si igienizare a spatiilor locative, servicii de frizerie. Alimentatia este preparata zilnic in bucataria proprie compusa din 3 mese si o gustare pe zi. Asistenta medicala asigurata de medicul de familie cu vizita saptamanala, administrarea tratamentului oral, injectabil si perfuzabil de catre asistenta medicala, asistenta medicala de urgenta asigurata de serviciul de Ambulanta Publica, supravegherea permanenta de catre asistenta medicala si infirmiera, masaje ale mebrelor inferioare si superiore. Este asigurata prezenta permanenta a unui asistent social si psihopedagog care vine cu multe activitatati sociale, consiliere si terapii organizate prin desen, pictura, sculptura, dans, teatru, jocuri de societate, cinema, activitati manuale. Curtea amenajata cu spatii verzi, ronduri de flori, arbori, pomi fructiferi, parc pentru plimbari, spatii pentru gradinarit."
"Caminul Sfanta Elena";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Evaluare clinica, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"Camin particular situat intr-un cadru natural deosebit in imediata vecinatate a padurii, asigura ingrijire si asistenta medicala permanenta pentru batrani si pentru pacientii cu boala Alzheimer."
"Centrul de ingrijire asistata Sf Dimitrie";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Reflexoterapie";;;;;;;;"Caminul de batrani Sf. Dimitrie este destinat ingrijirii persoanelor de varsta a treia, dar si persoanelor tinere cu probleme de sanatate ce necesita ingrijire permanenta. Acest camin de batrani ofera conditii de cazare deosebite, dar si linistea sufleteasca prin sprijinul parintelui Sorin Tolbaru. Caminul pentru batrani functioneaza si ca azil alzheimer si este situat in orasul Pitesti, judetul Arges."
"Caminul Valentina";;;;;;;;"Asistenta medicala, Consult medical regulat, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane varstnice, Recuperare medicala";;;;;;;;"Caminul Valentina vine in sprijinul dumneavoastra cu un pachet atractiv de servicii menite sa asigure linistea si bunastarea batranilor. Personalul experimentat, asistenta medicala si dotarile de care dispune caminul va dau increderea ca batranul dumneavoastra este pe maini bune."
"Camin de ingrijire batrani Ana Maria";;;;;;;;"Asistenta medicala, Consult medical regulat, Evaluare clinica, Geriatrie, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Reflexoterapie";;;;;;;;"Caminul Ana Maria este situat in Pitesti intr-o zona linistita si accesibila. Acesta a fost construit pentru a oferi confort,sprijin si siguranta persoanelor in varsta considerand ca acestia cat si membrii familiilor lor pot trai in liniste avand siguranta faptului ca batranii sunt ingrijiti cu daruire intr-un mediu linistit si placut unde beneficiaza de servicii adaptate necesitatii varstei. Se asigura cazare, masa, ingrijire medicala, supraveghere permanenta"
"Kandy Senior";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala";;;;;;;;"Toate camerele sunt situate la parter, evitandu-se astfel urcatul si coboratul scarilor. Caminul este alcatuit de fapt din patru cladiri cu cate 11 camere de dormit, o sala de mese unde se pot desfasura diverse activitati culturale si educative, o sala pentru receptii si primire, sala destinata personalului administrativ. Alimentatia consta in 3 mese principale zilnice, un supliment nutritiv, cu mancaruri diversificate si proaspete servite in sala de mese sau in dormitor dupa puterile rezidentului. Printre serviciile oferite de firma noastra, mentionam: ingrijire batrani, ingrijire bolnavi, asistenta medicala, consiliere psihologica, evaluare clinica, gimnastica medicala, recuperare medicala. Caminul este dotat cu o curte generoasa de circa 4000 mp, in care se pot desfasura diverse activitati de intretinere, repaus si recreere, in functie de dorintele si doleantele rezidentului."
